,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
444,NS,NS,NS,HH,HH,NS,NS,NS
445,NS,NS,LH,NS,HH,NS,NS,NS
446,LH,NS,LH,HH,LH,LH,LH,LH
447,NS,NS,NS,NS,NS,LL,NS,NS
448,NS,NS,NS,NS,NS,NS,NS,NS
449,LL,LL,LL,HL,LL,LL,HL,LL
450,NS,LL,LL,NS,LL,LL,LL,NS
451,NS,NS,NS,NS,NS,NS,NS,NS
452,LL,LL,NS,NS,NS,LL,NS,NS
453,NS,NS,NS,NS,NS,NS,NS,NS
454,NS,NS,LH,NS,NS,NS,NS,NS
455,NS,NS,NS,NS,NS,NS,NS,NS
456,NS,NS,NS,NS,NS,NS,NS,NS
457,NS,NS,NS,NS,NS,NS,NS,NS
458,NS,NS,NS,NS,NS,NS,NS,NS
459,NS,NS,NS,NS,NS,NS,NS,NS
460,NS,NS,NS,NS,NS,NS,NS,NS
461,NS,NS,NS,NS,NS,NS,NS,NS
462,NS,HH,NS,NS,NS,NS,NS,NS
463,NS,NS,NS,NS,NS,NS,NS,NS
464,NS,NS,NS,NS,NS,NS,NS,NS
465,NS,NS,NS,NS,NS,NS,NS,NS
466,NS,NS,NS,NS,HL,LL,HL,NS
467,HH,NS,NS,NS,NS,NS,NS,NS
468,LL,NS,NS,NS,NS,LL,HL,NS
469,NS,NS,NS,NS,NS,NS,NS,NS
470,NS,NS,NS,NS,NS,NS,NS,NS
471,NS,NS,NS,NS,NS,NS,NS,NS
472,NS,NS,NS,NS,NS,NS,NS,NS
473,HL,HL,HL,NS,HL,HL,NS,HL
474,NS,NS,NS,NS,NS,NS,LH,NS
475,NS,NS,NS,NS,NS,NS,NS,NS
476,NS,NS,NS,NS,HL,NS,NS,NS
477,NS,NS,NS,NS,NS,HH,NS,NS
478,NS,NS,NS,NS,NS,NS,NS,NS
479,NS,NS,NS,NS,NS,NS,NS,NS
480,NS,NS,NS,NS,NS,NS,NS,NS
481,NS,NS,NS,NS,NS,NS,NS,NS
482,NS,NS,NS,NS,NS,NS,NS,NS
483,NS,NS,NS,NS,NS,NS,NS,NS
484,NS,NS,NS,NS,NS,NS,NS,NS
485,NS,NS,NS,NS,NS,NS,NS,NS
486,NS,NS,NS,NS,NS,NS,HL,NS
487,NS,NS,NS,NS,LH,NS,NS,NS
488,NS,NS,NS,NS,NS,NS,NS,NS
489,NS,NS,NS,NS,HH,NS,HH,NS
490,NS,NS,NS,NS,NS,NS,NS,NS
491,NS,NS,NS,NS,NS,NS,NS,NS
492,NS,NS,NS,NS,LH,NS,NS,NS
493,NS,NS,NS,NS,NS,NS,NS,NS
494,NS,NS,NS,NS,NS,NS,NS,NS
495,NS,NS,HL,NS,NS,HL,NS,NS
496,NS,NS,NS,NS,NS,NS,NS,NS
497,NS,NS,NS,NS,NS,NS,NS,NS
498,NS,NS,NS,NS,NS,NS,NS,NS
499,NS,NS,NS,HH,NS,NS,NS,NS
500,NS,NS,NS,NS,NS,NS,NS,HH
501,HL,NS,NS,NS,NS,NS,NS,NS
502,NS,NS,NS,NS,NS,NS,NS,NS
503,NS,NS,NS,NS,NS,NS,NS,NS
504,NS,NS,NS,NS,NS,NS,NS,NS
505,NS,NS,NS,NS,NS,NS,NS,NS
506,NS,NS,NS,NS,NS,NS,NS,NS
507,NS,NS,NS,NS,NS,NS,NS,NS
508,NS,NS,NS,LH,NS,NS,NS,NS
509,NS,NS,NS,NS,NS,NS,NS,NS
510,NS,NS,NS,NS,NS,NS,NS,NS
511,NS,NS,NS,NS,NS,NS,NS,NS
512,NS,NS,NS,LL,LL,NS,NS,NS
513,NS,NS,NS,NS,NS,NS,NS,NS
514,NS,NS,NS,NS,NS,NS,NS,NS
515,NS,LL,NS,NS,NS,NS,NS,NS
516,NS,NS,NS,NS,NS,NS,NS,NS
517,NS,NS,NS,NS,NS,NS,NS,NS
518,NS,NS,NS,NS,NS,NS,NS,NS
